Date,Universe,Ticker,alpha,l1_ratio
2024-03-31,A,DIA,100.0,0.2
2024-03-31,A,IJR,100.0,0.2
2024-03-31,A,MDY,100.0,0.2
2024-03-31,A,MTUM,100.0,0.2
2024-03-31,A,ONEQ,100.0,0.2
2024-03-31,A,QQQ,0.007278953843983146,0.95
2024-03-31,A,QUAL,100.0,0.2
2024-03-31,A,RSP,100.0,0.2
2024-03-31,A,SPY,100.0,0.2
2024-03-31,A,USMV,100.0,0.2
2024-03-31,A,VNQ,0.007278953843983146,0.8
2024-03-31,A,VTV,0.018873918221350976,0.2
2024-03-31,A,VUG,100.0,0.2
2024-04-30,A,DIA,100.0,0.2
2024-04-30,A,IJR,100.0,0.2
2024-04-30,A,MDY,100.0,0.2
2024-04-30,A,MTUM,0.018873918221350976,0.2
2024-04-30,A,ONEQ,100.0,0.2
2024-04-30,A,QQQ,0.007278953843983146,0.8
2024-04-30,A,QUAL,0.004520353656360241,0.8
2024-04-30,A,RSP,0.004520353656360241,0.8
2024-04-30,A,SPY,0.004520353656360241,0.8
2024-04-30,A,USMV,100.0,0.2
2024-04-30,A,VNQ,0.007278953843983146,0.8
2024-04-30,A,VTV,0.004520353656360241,0.8
2024-04-30,A,VUG,0.007278953843983146,0.8
2024-05-31,A,DIA,100.0,0.2
2024-05-31,A,IJR,100.0,0.2
2024-05-31,A,MDY,0.004520353656360241,0.8
2024-05-31,A,MTUM,0.004520353656360241,0.8
2024-05-31,A,ONEQ,0.011721022975334805,0.2
2024-05-31,A,QQQ,0.0028072162039411755,0.95
2024-05-31,A,QUAL,0.004520353656360241,0.8
2024-05-31,A,RSP,0.004520353656360241,0.8
2024-05-31,A,SPY,0.0028072162039411755,0.95
2024-05-31,A,USMV,100.0,0.2
2024-05-31,A,VNQ,0.007278953843983146,0.8
2024-05-31,A,VTV,0.004520353656360241,0.8
2024-05-31,A,VUG,0.004520353656360241,0.95
2024-06-30,A,DIA,100.0,0.2
2024-06-30,A,IJR,100.0,0.2
2024-06-30,A,MDY,100.0,0.2
2024-06-30,A,MTUM,100.0,0.2
2024-06-30,A,ONEQ,100.0,0.2
2024-06-30,A,QQQ,100.0,0.2
2024-06-30,A,QUAL,100.0,0.2
2024-06-30,A,RSP,100.0,0.2
2024-06-30,A,SPY,100.0,0.2
2024-06-30,A,USMV,100.0,0.2
2024-06-30,A,VNQ,100.0,0.2
2024-06-30,A,VTV,0.018873918221350976,0.2
2024-06-30,A,VUG,100.0,0.2
2024-07-31,A,DIA,100.0,0.2
2024-07-31,A,IJR,100.0,0.2
2024-07-31,A,MDY,0.004520353656360241,0.8
2024-07-31,A,MTUM,100.0,0.2
2024-07-31,A,ONEQ,0.004520353656360241,0.95
2024-07-31,A,QQQ,0.0028072162039411755,0.95
2024-07-31,A,QUAL,0.004520353656360241,0.8
2024-07-31,A,RSP,0.0028072162039411755,0.95
2024-07-31,A,SPY,0.004520353656360241,0.8
2024-07-31,A,USMV,100.0,0.2
2024-07-31,A,VNQ,0.011721022975334805,0.5
2024-07-31,A,VTV,0.007278953843983146,0.5
