Date,Universe,Strategy,Cost_bps,Ret_gross,Cost,Ret_net
2020-10-31,A,EqualWeight_1N,0,0.1197280464156198,0.0,0.1197280464156198
2020-11-30,A,EqualWeight_1N,0,0.0435956465531037,0.0,0.0435956465531037
2020-12-31,A,EqualWeight_1N,0,-0.0005731704900243,0.0,-0.0005731704900243
2021-01-31,A,EqualWeight_1N,0,0.030265128152281,0.0,0.030265128152281
2021-02-28,A,EqualWeight_1N,0,0.0392268638442307,0.0,0.0392268638442307
2021-03-31,A,EqualWeight_1N,0,0.0497055932673072,0.0,0.0497055932673072
2021-04-30,A,EqualWeight_1N,0,0.0057284207254539,0.0,0.0057284207254539
2021-05-31,A,EqualWeight_1N,0,0.021186618329157,0.0,0.021186618329157
2021-06-30,A,EqualWeight_1N,0,0.01817021671395,0.0,0.01817021671395
2021-07-31,A,EqualWeight_1N,0,0.0274381265992692,0.0,0.0274381265992692
2021-08-31,A,EqualWeight_1N,0,-0.0460141575016301,0.0,-0.0460141575016301
2021-09-30,A,EqualWeight_1N,0,0.0657269796615865,0.0,0.0657269796615865
2021-10-31,A,EqualWeight_1N,0,-0.0160932465283007,0.0,-0.0160932465283007
2021-11-30,A,EqualWeight_1N,0,0.0430891875256575,0.0,0.0430891875256575
2021-12-31,A,EqualWeight_1N,0,-0.0660365629702047,0.0,-0.0660365629702047
2022-01-31,A,EqualWeight_1N,0,-0.0241822547283173,0.0,-0.0241822547283173
2022-02-28,A,EqualWeight_1N,0,0.0356999293505133,0.0,0.0356999293505133
2022-03-31,A,EqualWeight_1N,0,-0.0846343317745451,0.0,-0.0846343317745451
2022-04-30,A,EqualWeight_1N,0,-0.0038078289124046,0.0,-0.0038078289124046
2022-05-31,A,EqualWeight_1N,0,-0.0793115933849971,0.0,-0.0793115933849971
2022-06-30,A,EqualWeight_1N,0,0.0898553389477064,0.0,0.0898553389477064
2022-07-31,A,EqualWeight_1N,0,-0.0404095381107558,0.0,-0.0404095381107558
2022-08-31,A,EqualWeight_1N,0,-0.0929956769455124,0.0,-0.0929956769455124
2022-09-30,A,EqualWeight_1N,0,0.0850161630794608,0.0,0.0850161630794608
2022-10-31,A,EqualWeight_1N,0,0.0552197412126908,0.0,0.0552197412126908
2022-11-30,A,EqualWeight_1N,0,-0.0572450025756938,0.0,-0.0572450025756938
2022-12-31,A,EqualWeight_1N,0,0.0681003365994423,0.0,0.0681003365994423
2023-01-31,A,EqualWeight_1N,0,-0.0270912757745603,0.0,-0.0270912757745603
2023-02-28,A,EqualWeight_1N,0,0.0206930253610003,0.0,0.0206930253610003
2023-03-31,A,EqualWeight_1N,0,0.0078763957264041,0.0,0.0078763957264041
2023-04-30,A,EqualWeight_1N,0,-0.0059915292682274,0.0,-0.0059915292682274
2023-05-31,A,EqualWeight_1N,0,0.0656531017574303,0.0,0.0656531017574303
2023-06-30,A,EqualWeight_1N,0,0.0335779375122778,0.0,0.0335779375122778
2023-07-31,A,EqualWeight_1N,0,-0.0192611424846696,0.0,-0.0192611424846696
