Date,Universe,Strategy,Ret
2018-01-31,A,EqualWeight_LongShort,0.011307083519051611
2018-02-28,A,EqualWeight_LongShort,-0.011337203752522885
2018-03-31,A,EqualWeight_LongShort,0.0015258069660389892
2018-04-30,A,EqualWeight_LongShort,0.006613652297762488
2018-05-31,A,EqualWeight_LongShort,0.0015863415061344306
2018-06-30,A,EqualWeight_LongShort,-0.00547512878974891
2018-07-31,A,EqualWeight_LongShort,0.0062919430181384225
2018-08-31,A,EqualWeight_LongShort,0.005511974171009302
2018-09-30,A,EqualWeight_LongShort,-0.0015761195127724503
2018-10-31,A,EqualWeight_LongShort,-0.005991705835944179
2018-11-30,A,EqualWeight_LongShort,-0.008871754727622673
2018-12-31,A,EqualWeight_LongShort,-0.002557083781195903
2019-01-31,A,EqualWeight_LongShort,-0.002656097524908492
2019-02-28,A,EqualWeight_LongShort,-0.00897721223377748
2019-03-31,A,EqualWeight_LongShort,0.003826257357510066
2019-04-30,A,EqualWeight_LongShort,0.0034811365317516272
2019-05-31,A,EqualWeight_LongShort,-0.005520597165285562
2019-06-30,A,EqualWeight_LongShort,0.0025605883056630994
2019-07-31,A,EqualWeight_LongShort,0.011701829752430356
2019-08-31,A,EqualWeight_LongShort,-0.01152247584946836
2019-09-30,A,EqualWeight_LongShort,0.007483534477192781
2019-10-31,A,EqualWeight_LongShort,0.008019299858534657
2019-11-30,A,EqualWeight_LongShort,0.0022755082510742355
2019-12-31,A,EqualWeight_LongShort,0.020061015198152902
2020-01-31,A,EqualWeight_LongShort,0.00974092342341409
2020-02-29,A,EqualWeight_LongShort,0.026021205110975745
2020-03-31,A,EqualWeight_LongShort,0.006402520571367342
2020-04-30,A,EqualWeight_LongShort,0.008736589816573177
2020-05-31,A,EqualWeight_LongShort,0.009343340679228013
2020-06-30,A,EqualWeight_LongShort,0.012595931766784824
2020-07-31,A,EqualWeight_LongShort,0.026762771748924233
2020-08-31,A,EqualWeight_LongShort,-0.008817543038237736
2020-09-30,A,EqualWeight_LongShort,-0.010988065459924127
2020-10-31,A,EqualWeight_LongShort,-0.006094189165784549
2020-11-30,A,EqualWeight_LongShort,0.01131395563467985
